n,tempo_ms
3650010,0.002375
3660010,0.002934
3670010,0.003422
3680010,0.003772
3690010,0.002794
3700010,0.002863
3710010,0.003422
3720010,0.001956
3730010,0.002375
3740010,0.002864
3750010,0.002375
3760010,0.003282
3770010,0.002445
3780010,0.003772
3790010,0.002933
3800010,0.002375
3810010,0.002933
3820010,0.002444
3830010,0.002305
3840010,0.004260
3850010,0.003841
3860010,0.004819
3870010,0.004260
3880010,0.003213
3890010,0.003283
3900010,0.004749
3910010,0.002375
3920010,0.001886
3930010,0.002235
3940010,0.003353
3950010,0.003283
3960010,0.002864
3970010,0.002375
3980010,0.002864
3990010,0.004260
4000010,0.001467
4010010,0.002375
4020010,0.003352
4030010,0.003422
4040010,0.002375
4050010,0.002794
4060010,0.001886
4070010,0.001467
4080010,0.003283
4090010,0.002933
4100010,0.002934
4110010,0.002305
4120010,0.001886
4130010,0.002305
4140010,0.003352
4150010,0.003352
4160010,0.002374
4170010,0.002864
4180010,0.002864
4190010,0.002444
4200010,0.002445
4210010,0.002375
4220010,0.002863
4230010,0.002375
4240010,0.002794
4250010,0.002863
4260010,0.002863
4270010,0.002445
4280010,0.001467
4290010,0.002445
4300010,0.002374
4310010,0.002375
4320010,0.002863
4330010,0.001886
4340010,0.002375
4350010,0.002933
4360010,0.002375
4370010,0.001467
4380010,0.002444
4390010,0.002375
4400010,0.002444
4410010,0.002863
4420010,0.003353
4430010,0.002863
4440010,0.002793
4450010,0.002444
4460010,0.002793
4470010,0.001956
4480010,0.002863
4490010,0.002374
4500010,0.002374
4510010,0.003841
4520010,0.003213
4530010,0.003771
4540010,0.002863
4550010,0.004330
4560010,0.003282
4570010,0.002445
4580010,0.002933
4590010,0.003772
4600010,0.003282
4610010,0.003283
4620010,0.003352
4630010,0.003283
4640010,0.003771
4650010,0.002864
4660010,0.002794
4670010,0.002794
4680010,0.002375
4690010,0.002794
4700010,0.002863
4710010,0.003841
4720010,0.004819
4730010,0.002375
4740010,0.002375
4750010,0.002864
